NAME;X;Y;Z;Attr1;Attr2;Attr3;Attr4;Attr5;HA;VA;HD;hr;ppm;
LP1;15.402885;24.560608;1.046399;;;;;;4.989724;1.864232;2.350375;0.000000;0.000000;
LP2;15.117993;23.725867;1.208917;;;;;;5.361621;1.794257;2.409911;0.000000;0.000000;
LP3;15.223168;22.797331;2.399654;;;;;;5.596059;1.365755;3.092219;0.000000;0.000000;
LP4;16.199274;22.003423;1.362059;;;;;;5.557672;1.661399;4.342535;0.000000;0.000000;
LP5;16.786777;23.083323;3.974498;;;;;;5.270658;1.082444;4.174710;0.000000;0.000000;
LP6;17.965302;23.314847;4.033842;;;;;;5.123039;1.155287;5.161533;0.000000;0.000000;
LP7;18.982944;24.283387;3.544996;;;;;;4.909893;1.277827;5.928771;0.000000;0.000000;
LP8;18.539657;25.105912;2.822457;;;;;;4.769927;1.377181;5.436135;0.000000;0.000000;
LP9;17.748109;25.368456;2.296253;;;;;;4.711721;1.455385;4.655262;0.000000;0.000000;
LP10;17.026214;25.301212;2.203812;;;;;;4.716187;1.457499;3.930493;0.000000;0.000000;
